Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
6,facilitating,8,550,18,24,0.280902385466402,0.0948703805846663,0.571428571428571,-0.0495073771488337,-0.261228738993946,0.112436199085566
6,facilitating,9,600,21,24,0.130620182417064,0.087327954437589,0.533333333333333,3.29785379996619e-17,-0.272586510254553,0
6,facilitating,10,650,20,24,0.178248231406319,0.0895968143354903,0.545454545454545,0.0495073771488337,-0.261228738993946,-0.112436199085566
6,facilitating,11,700,18,24,0.280902385466402,0.0948703805846663,0.571428571428571,0.0990147542976674,-0.227155425212127,-0.208810084016051
6,facilitating,12,750,19,23,0.186585955580412,0.093835242771413,0.547619047619048,0.148522131446501,-0.170366568909095,-0.273059340636375
6,facilitating,13,800,15,24,0.45783309362548,0.10533245556287,0.615384615384615,0.198029508595335,-0.090862170084851,-0.289121654791456
6,facilitating,14,850,18,24,0.280902385466402,0.0948703805846663,0.571428571428571,0.247536885744169,0.0113577712606064,-0.240934712326213
6,facilitating,15,900,17,24,0.336472236621213,0.0979591836734694,0.585365853658537,0.297044262893002,0.136293255127276,-0.112436199085566
6,facilitating,16,950,15,24,0.45783309362548,0.10533245556287,0.615384615384615,0.346551640041836,0.283944281515159,0.112436199085566
6,facilitating,17,1000,18,24,0.280902385466402,0.0948703805846663,0.571428571428571,0.39605901719067,0.454310850424255,0.449744796342265
6,neutral,1,200,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,-0.39605901719067,0.454310850424255,-0.449744796342265
6,neutral,2,250,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,-0.346551640041836,0.283944281515159,-0.112436199085566
6,neutral,3,300,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,-0.297044262893002,0.136293255127276,0.112436199085566
6,neutral,4,350,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,-0.247536885744169,0.0113577712606063,0.240934712326213
6,neutral,5,400,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,-0.198029508595335,-0.090862170084851,0.289121654791456
6,neutral,6,450,13,13,0,0.148148148148148,0.5,-0.148522131446501,-0.170366568909095,0.273059340636375
6,neutral,7,500,12,15,0.215111379616945,0.144516129032258,0.555555555555556,-0.0990147542976674,-0.227155425212127,0.208810084016052
6,neutral,8,550,12,15,0.215111379616945,0.144516129032258,0.555555555555556,-0.0495073771488337,-0.261228738993946,0.112436199085566
6,neutral,9,600,12,15,0.215111379616945,0.144516129032258,0.555555555555556,3.29785379996619e-17,-0.272586510254553,0
6,neutral,10,650,12,15,0.215111379616945,0.144516129032258,0.555555555555556,0.0495073771488337,-0.261228738993946,-0.112436199085566
6,neutral,11,700,12,12,0,0.16,0.5,0.0990147542976674,-0.227155425212127,-0.208810084016051
6,neutral,12,750,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,0.148522131446501,-0.170366568909095,-0.273059340636375
6,neutral,13,800,15,12,-0.215111379616946,0.144516129032258,0.444444444444444,0.198029508595335,-0.090862170084851,-0.289121654791456
6,neutral,14,850,14,12,-0.148420005118273,0.148965517241379,0.461538461538462,0.247536885744169,0.0113577712606064,-0.240934712326213
6,neutral,15,900,11,14,0.231801614057324,0.15592203898051,0.56,0.297044262893002,0.136293255127276,-0.112436199085566
6,neutral,16,950,7,16,0.78845736036427,0.193939393939394,0.695652173913043,0.346551640041836,0.283944281515159,0.112436199085566
6,neutral,17,1000,6,20,1.14862270924277,0.202626641651032,0.769230769230769,0.39605901719067,0.454310850424255,0.449744796342265
7,facilitating,1,200,24,24,0,0.0816326530612245,0.5,-0.39605901719067,0.454310850424255,-0.449744796342265
7,facilitating,2,250,24,24,0,0.0816326530612245,0.5,-0.346551640041836,0.283944281515159,-0.112436199085566
7,facilitating,3,300,24,24,0,0.0816326530612245,0.5,-0.297044262893002,0.136293255127276,0.112436199085566
7,facilitating,4,350,22,25,0.125163142954006,0.0836601307189543,0.531914893617021,-0.247536885744169,0.0113577712606063,0.240934712326213
7,facilitating,5,400,18,28,0.432133355190326,0.0891417733522997,0.608695652173913,-0.198029508595335,-0.090862170084851,0.289121654791456
7,facilitating,6,450,18,30,0.499955951529087,0.0868409392999557,0.625,-0.148522131446501,-0.170366568909095,0.273059340636375
7,facilitating,7,500,18,29,0.466619531261495,0.0879523591387998,0.617021276595745,-0.0990147542976674,-0.227155425212127,0.208810084016052
7,facilitating,8,550,20,27,0.293761118528163,0.0851441241685144,0.574468085106383,-0.0495073771488337,-0.261228738993946,0.112436199085566
