Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion
2,filler,56,1750,3,24,1.94591014905531,0.326530612244898,0.888888888888889
2,filler,57,1800,3,24,1.94591014905531,0.326530612244898,0.888888888888889
2,neutral,1,-1000,18,11,-0.475423696715075,0.141010575793184,0.379310344827586
2,neutral,2,-950,19,9,-0.719122666963206,0.156545209176788,0.321428571428571
2,neutral,3,-900,18,7,-0.902867711542014,0.187387387387387,0.28
2,neutral,4,-850,20,6,-1.14862270924277,0.202626641651032,0.230769230769231
2,neutral,5,-800,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,neutral,6,-750,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,neutral,7,-700,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,neutral,8,-650,21,6,-1.19625075823203,0.200357781753131,0.222222222222222
2,neutral,9,-600,21,5,-1.36330484289519,0.228329809725159,0.192307692307692
2,neutral,10,-550,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,11,-500,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,12,-450,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,13,-400,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,14,-350,24,4,-1.69459572077441,0.263038548752834,0.142857142857143
2,neutral,15,-300,27,3,-2.06142303617716,0.322077922077922,0.1
2,neutral,16,-250,25,3,-1.98591548366901,0.324929971988795,0.107142857142857
2,neutral,17,-200,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,18,-150,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,19,-100,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,20,-50,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,21,0,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,22,50,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,23,100,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,24,150,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,25,200,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,26,250,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,27,300,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,28,350,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,29,400,24,6,-1.32687094064909,0.194662480376766,0.2
2,neutral,30,450,23,6,-1.28519824424852,0.196399345335516,0.206896551724138
2,neutral,31,500,21,7,-1.05314991459135,0.17984496124031,0.25
2,neutral,32,550,21,9,-0.816761136527122,0.151774785801714,0.3
2,neutral,33,600,17,9,-0.610909082322973,0.162406015037594,0.346153846153846
2,neutral,34,650,13,12,-0.0769610411361283,0.154074074074074,0.48
2,neutral,35,700,10,15,0.389464766761723,0.159754224270353,0.6
2,neutral,36,750,10,17,0.510825623765991,0.152380952380952,0.62962962962963
2,neutral,37,800,9,21,0.816761136527122,0.151774785801714,0.7
2,neutral,38,850,8,21,0.927986771637346,0.164158686730506,0.724137931034483
2,neutral,39,900,6,23,1.28519824424852,0.196399345335516,0.793103448275862
2,neutral,40,950,5,24,1.49392502531226,0.222634508348794,0.827586206896552
2,neutral,41,1000,0,27,4.00733318523247,2.03636363636364,1
2,neutral,42,1050,0,30,4.11087386417331,2.0327868852459,1
2,neutral,43,1100,0,30,4.11087386417331,2.0327868852459,1
2,neutral,44,1150,0,27,4.00733318523247,2.03636363636364,1
2,neutral,45,1200,0,27,4.00733318523247,2.03636363636364,1
2,neutral,46,1250,0,27,4.00733318523247,2.03636363636364,1
2,neutral,47,1300,0,27,4.00733318523247,2.03636363636364,1
2,neutral,48,1350,0,27,4.00733318523247,2.03636363636364,1
2,neutral,49,1400,0,27,4.00733318523247,2.03636363636364,1
2,neutral,50,1450,0,27,4.00733318523247,2.03636363636364,1
2,neutral,51,1500,0,26,3.97029191355212,2.0377358490566,1
2,neutral,52,1550,3,22,1.86075234071501,0.33015873015873,0.88
2,neutral,53,1600,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,neutral,54,1650,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,neutral,55,1700,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,neutral,56,1750,6,21,1.19625075823203,0.200357781753131,0.777777777777778
2,neutral,57,1800,6,17,0.990398704027877,0.210989010989011,0.739130434782609
4,facilitating,1,-1000,17,25,0.376477571234912,0.0963585434173669,0.595238095238095
4,facilitating,2,-950,15,27,0.573345980747325,0.100879765395894,0.642857142857143
4,facilitating,3,-900,15,27,0.573345980747325,0.100879765395894,0.642857142857143
4,facilitating,4,-850,14,27,0.640037355245997,0.105329153605016,0.658536585365854
4,facilitating,5,-800,12,28,0.824175442966349,0.115087719298246,0.7
4,facilitating,6,-750,12,28,0.824175442966349,0.115087719298246,0.7
4,facilitating,7,-700,17,24,0.336472236621213,0.0979591836734694,0.585365853658537
4,facilitating,8,-650,20,21,0.0476280489892547,0.0952921157118548,0.51219512195122
4,facilitating,9,-600,18,21,0.150282203049338,0.100565681961031,0.538461538461538
4,facilitating,10,-550,20,21,0.0476280489892547,0.0952921157118548,0.51219512195122
4,facilitating,11,-500,19,21,0.0976384695639161,0.097793679189028,0.525
4,facilitating,12,-450,18,27,0.396415272588246,0.0904176904176904,0.6
4,facilitating,13,-400,18,26,0.359374000907897,0.0917899031106578,0.590909090909091
4,facilitating,14,-350,18,25,0.320907720080101,0.0932697403285639,0.581395348837209
4,facilitating,15,-300,18,27,0.396415272588246,0.0904176904176904,0.6
4,facilitating,16,-250,18,27,0.396415272588246,0.0904176904176904,0.6
4,facilitating,17,-200,18,26,0.359374000907897,0.0917899031106578,0.590909090909091
4,facilitating,18,-150,20,24,0.178248231406319,0.0895968143354903,0.545454545454545
4,facilitating,19,-100,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,20,-50,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,21,0,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,22,50,21,22,0.0454623740767574,0.0909560723514212,0.511627906976744
4,facilitating,23,100,24,21,-0.130620182417064,0.087327954437589,0.466666666666667
4,facilitating,24,150,22,21,-0.0454623740767573,0.0909560723514212,0.488372093023256
4,facilitating,25,200,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,26,250,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,27,300,21,24,0.130620182417064,0.087327954437589,0.533333333333333
4,facilitating,28,350,19,24,0.22825865198098,0.0920983778126635,0.558139534883721
